,Production,Activity ($millions),GWP (tons CO2e),Employee Compensation ($millions),Taxes ($millions),Surplus ($millions),Total VA,NOX emissions (tons),SO2 emissions (tons),PM2.5 emissions (tons),VOC emissions (tons),NH3 emissions (tons),Deaths,Total PM2.5 WhiteNoLat mortalities,Total PM2.5 Latino mortalities,Total PM2.5 Black mortalities,Total PM2.5 Asian mortalities,Total PM2.5 Native mortalities,Total PM2.5 Other mortalities,Total PM2.5 TwoXPov mortalities,Total PM2.5 Poverty mortalities,PrimaryPM2_5 TotalPop mortalities,pSO4 TotalPop mortalities,SOA TotalPop mortalities,pNO3 TotalPop mortalities,pNH4 TotalPop mortalities,TotalPop direct mortalities,WhiteNoLat direct mortalities,Latino direct mortalities,Black direct mortalities,Asian direct mortalities,Native direct mortalities,Other direct mortalities,TwoXPov direct mortalities,Poverty direct mortalities,Race_EJ,Income_EJ
Flour milling and malt manufacturing,8349,1000,2360519.288,490.74178,-29.31009105,523.3066443,984.7383333,6814.266507,3633.471658,3892.774005,2600.277923,7418.146049,55.69459133,37.18565966,6.580593157,8.499853009,2.03432903,0.257806302,1.136350173,35.4765318,8.436383281,38.35914357,12.13908684,1.446795611,3.210047825,0.539131217,6.539162043,4.052373707,0.90578243,1.107708382,0.316346641,0.019504399,0.137446484,4.138090747,1.043405503,-0.002272948,0.001042349
Wet corn milling,6595,1000,4102640.188,490.4639754,-26.73832635,525.9227787,989.6484278,6477.192288,6399.42896,3816.313281,4030.367216,6985.32708,80.38812036,53.40077579,9.197655443,13.06455393,2.817974828,0.320360047,1.586800335,51.21918585,12.28931624,39.85324747,31.17776254,2.535491314,6.282774953,0.537421345,26.85133745,17.13346032,3.399459245,4.721384146,1.019412463,0.06864621,0.508975068,17.04923493,4.227492445,-0.002896776,0.001749725
Fats and oils refining and blending,8304,1000,2190345.925,432.3745897,47.86006332,511.0377877,991.2724407,6698.433267,7097.470868,3912.321557,5761.276964,4279.21743,95.39356182,62.63607205,11.47269063,15.65668044,3.414940582,0.347734941,1.865443173,60.63098322,14.73875609,46.63554921,36.95002623,4.00124297,7.298873625,0.50486958,46.56527514,29.65769165,5.967420037,8.180226651,1.755393295,0.12046761,0.884075896,29.48933012,7.365313319,-0.00240351,0.002499565
Soybean and other oilseed processing,12046,1000,2551488.843,383.0168378,55.90911911,551.5104901,990.436447,5788.656928,3514.856321,4857.190556,3803.717207,5225.196238,68.23093802,46.18303389,7.684640329,10.40760769,2.273956206,0.315425257,1.36627464,43.44072913,10.35192182,48.63670346,13.49272731,2.333627868,3.315660764,0.451539701,10.04449115,6.174451207,1.458128143,1.815556974,0.375184487,0.028388357,0.192781977,6.241280765,1.649389607,-0.003669794,0.001324817
Breakfast cereal manufacturing,7868,1000,952065.3173,380.7843822,19.57082424,593.0157375,993.3709439,2653.040502,2180.7576,1491.178767,1159.822405,1868.496871,27.77340354,18.23243062,3.342792892,4.438659832,1.074293308,0.114948653,0.570278236,17.7465983,4.221760703,17.5406279,7.366518687,0.844255919,1.779932552,0.241955416,4.423636554,2.774070847,0.590693759,0.697273333,0.244147605,0.012388184,0.105062826,2.862623635,0.683710377,-0.000694439,0.000524975
Beet sugar manufacturing,2255,1000,2637456.948,517.7598481,70.73314233,403.5398986,992.032889,12361.56916,17230.111,5591.100441,3045.835909,4627.157144,96.49984724,64.19317322,11.46642545,15.56736844,3.025898831,0.435608901,1.811372396,61.21073835,14.69836289,49.09665982,37.90753497,1.809964567,6.040045704,1.642891165,48.23639687,32.15017891,6.055280803,7.465821718,1.481403004,0.205672682,0.878039761,30.69733317,7.278953486,-0.003603801,0.002117295
Sugar cane mills and refining,4199,1000,2274900.833,536.862478,69.68244473,383.3772441,989.9221668,10174.09342,13267.63851,8332.200798,3122.782156,3070.669009,108.4987259,69.63003732,14.77506975,18.2639497,3.391713631,0.442515646,1.995439858,68.17613288,16.9847861,70.841323,30.23868034,1.921256564,4.972961975,0.520395348,63.18947065,39.65657385,9.567489857,10.69539925,1.912104339,0.234338838,1.123564511,39.46748395,10.04760508,-0.000460054,0.003733242
Confectionery manufacturing from cacao beans,2017,1000,1154713.099,565.1312509,52.29448527,370.956568,988.3823041,3425.445035,3105.014249,1874.907172,1367.805008,2130.215853,36.33563517,23.66697494,4.531386271,5.81925112,1.443557288,0.146871198,0.727594354,23.33691906,5.46283076,21.56700646,10.83577336,1.050267586,2.614982151,0.267392146,3.542877286,2.213911306,0.49303779,0.498199819,0.25302774,0.006794738,0.077905892,2.445200831,0.470882318,-0.000645576,0.000491393
Confectionery manufacturing from purchased chocolate,9700,1000,932070.3647,525.6697858,45.15400919,420.4979454,991.3217404,2756.059303,2618.664042,1327.893974,1094.351166,1413.912243,29.65801376,19.05803056,3.896984579,4.760251925,1.233554984,0.11419311,0.594998606,19.03955094,4.465850579,16.30266348,9.306158998,0.983836444,2.85114944,0.21405922,3.086330672,1.708880777,0.619124798,0.450080804,0.231432513,0.006636497,0.070175284,2.027175279,0.458202596,-0.000160661,0.000421
Nonchocolate confectionery manufacturing,6601,1000,1031603.619,552.9528562,44.42100348,391.6153456,988.9892053,2917.496994,2699.689832,1233.73846,1223.135253,1473.348519,29.95112678,19.19508059,3.942684933,4.871909522,1.226639729,0.112459957,0.602352047,19.08703396,4.605166504,15.45905389,10.02359051,1.069901745,3.160385378,0.238040286,3.344369797,1.91438669,0.652465185,0.451676975,0.240080889,0.007090186,0.078669872,2.141611161,0.540586496,-8.98E-05,0.000709171
Frozen food manufacturing,21434,1000,1388481.954,562.2164917,35.32794919,394.707373,992.2518139,2990.45497,2262.753078,1692.847008,1714.36261,4293.008284,32.31743482,21.2761254,3.946819714,4.946251189,1.332775334,0.140727984,0.674735198,20.81200013,4.799978863,19.40199518,9.162582081,1.271894201,2.19025068,0.290566399,4.513638072,2.832982116,0.680092028,0.577766895,0.307116659,0.010260528,0.105419846,3.022919198,0.625071292,-0.000893684,0.000277382
"Fruit and vegetable canning, pickling and drying",30155,1000,1008072.741,507.1362979,41.64233569,441.2271132,990.0057468,2463.138932,2206.640583,1087.273352,1393.799438,1778.910714,26.37182907,17.03776638,3.361025445,4.164284098,1.143347162,0.11122428,0.554181706,16.96436463,3.946951461,13.98466413,8.609185742,1.333613568,2.225449318,0.218810154,3.437924037,2.114380238,0.545988509,0.423645865,0.258064947,0.010716036,0.085128442,2.317819136,0.473078688,-0.000271878,0.000303096
Cheese manufacturing,20098,1000,2531825.91,498.4228309,51.85610055,440.1254643,990.4043958,3916.348235,2526.069996,1338.804941,1459.507069,10390.72551,33.41540581,21.20084338,5.15069485,4.718757747,1.489930964,0.163786768,0.691392104,21.79680419,4.843220037,18.15254,10.06519759,0.999714808,3.900801619,0.296926223,3.575400824,2.21718154,0.578264164,0.404918468,0.276728458,0.010127532,0.088180662,2.415077046,0.490256313,0.000202393,-0.000121406
"Dry, condensed, and evaporated dairy products",9886,1000,2130395.462,488.1843582,48.32000092,453.8317947,990.3361538,3572.435375,2563.953515,1230.567695,1455.866002,7851.90717,31.77408132,20.20505229,4.720976129,4.634390195,1.411021477,0.14689167,0.65574956,20.66087585,4.644973711,16.68847802,10.2175236,1.096704309,3.493188083,0.278005877,3.131078667,1.944019418,0.505727771,0.354012524,0.241330818,0.008913299,0.077074836,2.114424415,0.429387547,0.000128138,6.23E-06
Fluid milk and butter manufacturing,23816,1000,2283967.363,494.0846613,45.57370497,451.8644172,991.5227834,3559.588538,2461.22481,1215.552868,1357.841454,9082.933748,31.0112794,19.70434274,4.707838649,4.450064051,1.361265159,0.149795662,0.637973137,20.20311567,4.506672934,16.26950796,9.947888264,0.955535803,3.565792315,0.27236686,2.760233743,1.707934516,0.448221732,0.312854377,0.215141172,0.007775425,0.06830652,1.864464313,0.378675376,0.000147143,-7.32E-05
Ice cream and frozen dessert manufacturing,7851,1000,1264887.678,501.6390458,46.21337099,443.1874055,991.0398223,2663.894342,2275.599925,922.135622,1044.316484,3935.057322,25.61254131,16.33509139,3.511760988,3.989296458,1.142492564,0.105324638,0.528575271,16.57520103,3.790406969,12.6362203,9.218237266,0.855351432,2.700137637,0.202491217,2.721564368,1.629874612,0.459434551,0.33355552,0.223522958,0.006633743,0.068542984,1.836903675,0.37687388,3.53E-05,0.0001483
Poultry processing,37547,1000,1493366.9,600.6893179,28.67556851,360.7478116,990.1126979,3155.511912,2238.599128,1406.470358,1419.318946,13936.43678,30.90893882,19.38332305,4.304584572,5.03828208,1.413518794,0.12624193,0.642988399,19.73138474,4.718121608,18.47188901,8.796800619,0.962121508,2.24439715,0.43358879,5.145929047,2.652954768,1.07349464,0.893032396,0.396414605,0.014619783,0.115412855,3.303931464,0.812965651,0.000507954,0.000637892
Animal (except poultry) slaughtering and processing,82050,1000,4091515.22,514.6207783,56.47541583,421.2883069,992.384501,3631.063019,2358.203584,1969.941147,1671.236365,15516.55877,36.73364713,23.16505639,5.372984792,5.659916387,1.595689888,0.171840572,0.768159105,23.35179835,5.601773044,23.36898645,9.232195881,1.04186421,2.732851094,0.357573855,5.970206224,3.081906871,1.242840247,1.035904942,0.458640388,0.017084442,0.133829335,3.833150257,0.942859749,0.000421616,0.000795136
Seafood product preparation and packaging,8250,1000,1259852.081,530.2114634,55.89008308,406.000113,992.1016595,2552.836677,2272.695474,473.949077,750.5771641,2781.897219,18.828829,11.37203269,3.03724582,2.896973514,1.016343446,0.078551366,0.427682164,12.02509233,2.871782329,8.203596288,7.383824035,0.609079219,2.461490012,0.17074951,3.427837927,1.965794753,0.599829167,0.528261005,0.240813151,0.012826789,0.080313062,2.237562603,0.511833083,0.000924392,0.000380627
Bread and bakery product manufacturing,36905,1000,892255.9564,685.8746153,34.03512181,271.8040479,991.713785,2206.239885,1989.219393,980.3993762,1533.776415,1541.550255,23.52077807,15.06568419,3.071221277,3.754788555,1.053307109,0.088997831,0.486779101,15.10976014,3.541963417,12.29199005,7.717515484,1.59493757,1.743220128,0.173024416,4.174396375,2.38938223,0.772701516,0.566853706,0.333619964,0.010410499,0.101428461,2.746826146,0.612668288,-5.88E-05,0.000329336
"Cookie, cracker and pasta manufacturing",15819,1000,1060600.456,536.8390202,31.70287874,421.7699668,990.3118658,3160.181972,2481.59493,1453.246485,1340.033258,2484.953007,29.57364403,19.09825395,3.766755706,4.759878583,1.226196401,0.118539718,0.604019673,18.91940988,4.480552785,16.89062661,8.998403582,1.026557052,2.398726256,0.259195695,2.910665372,1.678743969,0.504904289,0.422043369,0.227872726,0.006809166,0.070291854,1.931666243,0.420477547,-0.00029349,0.0005144
Tortilla manufacturing,1397,1000,1175723.01,628.0937087,20.90401054,342.8798206,991.8775399,2932.990988,2266.61519,1404.285512,1206.911512,2376.480295,27.97599055,18.22930164,3.460107184,4.41432196,1.179464791,0.114749369,0.578045605,17.97760835,4.191779315,16.61075262,8.439244349,0.851124164,1.869832948,0.204926151,3.755626476,2.150509059,0.673566026,0.542914473,0.289437452,0.009769424,0.089430042,2.478534968,0.551271904,-0.000507389,0.00034155
Snack food manufacturing,18026,1000,1007089.134,466.0113764,41.57559665,483.9945701,991.5815431,2731.302048,2120.781877,1517.539598,1253.575519,1888.047014,28.99115121,19.10818061,3.473103793,4.546215156,1.138321092,0.127111026,0.598219534,18.55950317,4.365103065,17.17710933,8.43268635,0.958648999,2.140539411,0.282045501,3.414896981,2.07601298,0.543923378,0.47219736,0.232416755,0.009707745,0.080638764,2.239515423,0.497100999,-0.000832621,0.000436931
Coffee and tea manufacturing,5195,1000,913281.703,537.1781531,56.2972803,395.0434559,988.5188893,2704.170641,1934.551283,1748.719743,1317.560709,1696.621376,33.93196835,21.37715826,4.74527938,5.418724235,1.551102684,0.141693051,0.698010742,21.66065147,5.167682895,22.27637258,7.995008497,1.103951021,2.312222169,0.244240555,6.757744498,3.253195623,1.630096904,1.126714196,0.584752011,0.015539593,0.14744617,4.304704101,1.073757551,0.000419235,0.000673919
Flavoring syrup and concentrate manufacturing,9386,1000,395395.9385,214.8246961,19.66224043,745.3196611,979.8065977,1155.301357,970.2007496,496.6464925,490.8011409,435.8108341,14.1823444,9.164601308,1.878068101,2.131488689,0.659027881,0.052318448,0.296839975,9.176603185,2.098681166,7.077231365,4.10247347,0.596799879,2.301796869,0.104007713,2.741386761,1.631402189,0.481144289,0.328409676,0.223979361,0.007048575,0.069402671,1.841616335,0.383428132,-0.000148985,8.25E-05
Seasoning and dressing manufacturing,10575,1000,1060747.079,535.1634026,45.46200352,407.2622926,987.8876987,2928.993796,2349.07821,1395.429542,1423.086615,2395.46655,31.44506715,20.56578504,3.899220994,4.93299348,1.272594932,0.129272624,0.645200082,20.1869464,4.722449463,16.66070478,10.19832722,1.207856226,2.884905884,0.49310934,2.939897497,1.84559449,0.458682552,0.360114858,0.19883231,0.007335097,0.069338189,1.972184062,0.40669594,-0.00067759,0.000418303
All other food manufacturing,16604,1000,1159137.279,536.9349368,38.85836517,413.3634722,989.1567742,2746.976724,2266.369665,1403.779129,1180.820398,3323.956459,29.52444694,19.25006114,3.69563274,4.627179018,1.213260534,0.125956927,0.612356584,18.93606205,4.445292381,16.60828187,9.282306873,0.923765003,2.409322392,0.300637666,3.391634748,2.034359552,0.557255151,0.483183813,0.225189812,0.010444525,0.081201894,2.198612337,0.519931547,-0.000552095,0.000427035
Soft drink and ice manufacturing,32783,1000,940393.1943,501.5522512,41.22186699,433.4367761,976.2108943,2334.759851,2657.481384,529.9031561,969.2752596,577.9221489,23.76027783,15.08784049,3.120916845,4.031308515,0.955439732,0.09131159,0.473460659,15.16365157,3.6167416,7.713556692,12.0300903,0.980088771,2.836348727,0.200095868,0.823778312,0.497992596,0.128674227,0.131274646,0.046535714,0.002295054,0.017006076,0.535420175,0.124126482,0.000125819,0.000469716
Breweries,21524,1000,865673.4308,412.5910413,205.0168693,368.2013865,985.8092972,2734.068921,2617.453723,691.5713107,1583.790347,900.8729913,26.95546668,17.30990963,3.408090452,4.552294375,1.036440884,0.107009421,0.541721922,17.13577896,4.130862156,9.561666941,12.40383169,1.717342579,3.015192943,0.257291303,5.73838633,3.656617204,0.776117229,0.963229775,0.21840529,0.013910436,0.110106396,3.629732125,0.893807717,-0.000129814,0.000628785
Wineries,9834,1000,608507.2959,554.7423661,131.952658,289.4987891,976.1938132,2068.567862,1713.201941,785.7377447,1874.570089,604.7974906,20.54207692,13.20232218,2.658712529,3.33861437,0.831432636,0.089085466,0.421909743,13.09987151,3.124468877,9.780274504,7.194984623,1.319766003,2.097280042,0.149698895,2.48774423,1.37253507,0.539439698,0.357001004,0.154220829,0.008984541,0.055563086,1.565739917,0.395947773,-0.000114283,0.000405715
Distilleries,7949,1000,392272.4901,208.5682701,586.2724079,197.0628825,991.9035606,1316.158275,928.4429877,303.6709237,1049.830279,373.3162249,10.93578563,7.166098661,1.235349605,1.878150149,0.393342011,0.042076745,0.22076846,6.904734807,1.713770354,4.043383941,4.166405274,0.914140448,1.672848259,0.138976389,2.319805903,1.673144766,0.159000495,0.37161883,0.064575949,0.005368342,0.046097522,1.475326606,0.361565248,-0.000255192,0.00036373
Tobacco product manufacturing,47464,1000,347884.3983,162.2235284,195.684227,638.0585268,995.9662821,993.4756332,1103.995064,370.1727756,444.359132,461.0076299,10.42695026,6.671417329,1.14607558,1.988957276,0.354492227,0.058724332,0.207283512,6.522903981,1.646488589,4.42727272,4.650595011,0.397272332,0.824748389,0.127034226,3.212324942,1.883634005,0.328795592,0.808872435,0.100512893,0.026962524,0.063547494,1.92936738,0.55136603,-1.57E-05,0.000405192
"Fiber, yarn, and thread mills",6806,1000,1670969.027,652.1664112,20.31132023,317.5094172,989.9871487,3822.874199,4771.934201,1125.52907,1450.045589,1963.909871,38.9483231,25.69306859,4.122861524,6.893557331,1.306517747,0.175165295,0.757152609,24.54145886,6.053596493,13.4591405,20.40718884,1.171477993,3.628026348,0.282118,2.366281669,1.398048606,0.297524233,0.517451725,0.092051558,0.015442184,0.045763363,1.430863295,0.399771487,-0.001149748,0.001208472
Broadwoven fabric mills,7307,1000,1271662.237,666.4948872,29.1681664,293.5305354,989.193589,3111.143753,4184.525551,775.3515543,1037.020479,1225.308618,32.98660506,21.41922855,3.448607814,6.25245073,1.089121766,0.145112066,0.632084131,20.63683915,5.207429744,10.04018441,18.78577557,0.878895789,3.064631196,0.216889445,6.842268194,4.311295393,0.60036741,1.59569931,0.178548933,0.034467691,0.121889457,4.079921867,1.17939104,-0.000492392,0.001278234
Narrow fabric mills and schiffli embroidery,1211,1000,894005.6615,719.0839122,35.2356447,236.3297361,990.649293,2256.665437,3128.064044,437.5743865,774.6173984,430.4379776,22.41464585,14.42132624,2.561345326,4.070784514,0.821325264,0.095625694,0.444238807,14.12984673,3.499552374,7.218874329,12.18937032,0.676405152,2.185335961,0.144537465,3.206511895,1.847107559,0.489844477,0.623856322,0.159487587,0.014681849,0.071534102,2.01032394,0.515231001,-0.000146591,0.000727522
Nonwoven fabric mills,4190,1000,1211458.012,573.0881985,43.05032929,374.3701619,990.5086897,2799.302256,3645.649181,497.2568731,1040.330088,738.0675654,27.46676601,17.68701153,3.218202408,4.905098543,1.004358395,0.115858873,0.536236253,17.35651233,4.263578829,7.840327137,15.58138952,0.893471441,2.861720491,0.289721675,4.159943369,2.726757267,0.481781222,0.698500925,0.148175558,0.023643557,0.081084839,2.587643543,0.664887262,-0.000201098,0.000814977
Knit fabric mills,3202,1000,1188162,681.025988,38.52277426,272.8624361,992.4111983,2921.226975,4064.411626,602.0867849,879.5216037,639.3882055,28.63571136,18.15039947,3.388140165,5.320419655,1.098166468,0.117719939,0.56086567,18.0120416,4.501178249,10.39982433,14.78029892,0.760140229,2.521242299,0.174031982,4.828944553,2.700381565,0.784380315,0.960642306,0.268486236,0.016616055,0.098438076,3.012786135,0.789141334,0.000198711,0.001017276
Textile and fabric finishing mills,12096,1000,1132649.13,621.2665075,38.95659736,331.8334015,992.0565063,2984.526901,4533.687229,604.1468185,1008.574111,548.7992418,32.76443908,20.51910744,3.654335431,6.737547477,1.079398301,0.151264703,0.62278572,20.19727591,5.335458664,9.773588786,18.75428043,0.942344995,3.044906079,0.248988728,11.59568464,6.978138149,1.243994195,2.77315721,0.319552637,0.067198116,0.213644336,6.851745133,2.027196446,0.00057771,0.00178625
Fabric coating mills,2247,1000,1039687.664,632.9196196,43.84194149,311.5705662,988.3321273,4335.32339,3105.959218,524.1932906,2046.59661,275.6029702,28.73293736,18.96414002,3.206481726,4.898852524,0.999741757,0.117066758,0.546654573,17.84966805,4.606388315,9.662475356,11.87459819,1.866619245,5.069096556,0.25836054,8.891453021,6.334879864,0.805548936,1.300474373,0.254272107,0.039170026,0.157107716,5.301852377,1.519283538,-0.000862111,0.00133467
Carpet and rug mills,12938,1000,1173955.762,552.5495899,36.42389379,402.4146678,991.3881514,3143.24873,3990.468863,598.6944457,1178.737978,636.8708963,32.52152772,20.97512005,3.712608603,5.9195508,1.158320564,0.137491449,0.618436256,20.30838847,5.151625415,9.437280189,18.62724143,1.006192939,3.205732842,0.244793772,6.831612782,4.183114986,0.938927307,1.261857374,0.301070219,0.02467346,0.121969436,4.224195826,1.096417445,-0.000284869,0.00131854
Curtain and linen mills,9177,1000,803981.0294,590.5525416,42.9833024,358.5440222,992.0798662,2179.323586,2601.602461,435.6531052,720.374812,552.6225073,20.20352594,12.95729588,2.267442641,3.785048556,0.714646536,0.087781911,0.391310416,12.65981233,3.190056575,6.455274528,10.76201572,0.653284128,2.191631861,0.141233844,0.571524378,0.300576983,0.108869709,0.108146087,0.0374952,0.004109734,0.012326666,0.358903217,0.093977158,-7.37E-05,0.000774112
Textile bag and canvas mills,2402,1000,569503.4954,669.4995618,35.82048365,287.294307,992.6143525,1787.079113,1756.841744,259.9098225,695.2911896,219.8108141,14.29652386,9.080238927,1.723066308,2.617688466,0.539132783,0.057281821,0.279115556,8.960765236,2.262844525,4.522425199,6.996455247,0.668237043,1.997163859,0.112179799,0.48005244,0.252759202,0.095460068,0.08705386,0.033080426,0.001377533,0.01032135,0.304311689,0.077373293,7.30E-05,0.000558867
All other miscellaneous textile product mills,7537,1000,950879.3409,620.1366866,42.15351886,323.5149286,985.8051341,2165.728789,2551.895825,380.4312448,801.1816087,622.2890822,19.97869008,12.90015573,2.258304603,3.642431145,0.706444702,0.083358615,0.38799528,12.57185186,3.127464904,5.684170493,11.14364833,0.694833978,2.274215196,0.18173247,0.044201529,0.027355312,0.006308983,0.007346868,0.002177835,0.000132889,0.000879642,0.028138056,0.006843836,-0.000195717,0.000678176
Hosiery and sock mills,3254,1000,676516.5634,633.3334278,36.40527896,323.726454,993.4651608,1747.459815,1992.807489,313.5741437,547.0294343,393.6041674,15.45776854,9.977346863,1.747824889,2.799766812,0.567094008,0.062831854,0.302904112,9.791882569,2.388830844,4.570800707,8.591091699,0.487488477,1.697774359,0.110564876,0.350483447,0.205441697,0.049448708,0.070090818,0.016468165,0.001896506,0.007137553,0.218770811,0.056773543,-0.000146251,0.000422779
Cut and sew apparel contractors,3990,1000,384274.8942,762.6082236,47.40571216,185.7739526,995.7878884,907.183204,1100.834964,138.361929,289.2407106,136.2314036,8.196821527,5.235635063,0.955586046,1.495191542,0.317963034,0.031201498,0.161244344,5.216593197,1.257192109,2.295223459,4.688166173,0.263577914,0.891853875,0.057987467,0.107521964,0.060861052,0.018515258,0.018871493,0.006765604,0.00028516,0.002223396,0.069835233,0.016323508,1.74E-07,0.000190627
Men''s and boys'' cut and sew apparel manufacturing,11112,1000,486838.0646,532.1932046,34.77151014,426.5110122,993.475727,1325.552947,1581.958616,220.1201172,417.0537035,219.4182597,12.04422969,7.604480079,1.399702766,2.316359852,0.439270378,0.050012891,0.23440372,7.546634192,1.906099064,3.659598063,6.587370048,0.388741617,1.322540871,0.08594762,0.077570007,0.04696986,0.011340013,0.013495269,0.003901548,0.000278684,0.001584634,0.048362595,0.01264744,0.000125367,0.000471482
Women''s and girls'' cut and sew apparel manufacturing,16637,1000,566358.4661,561.7864448,38.58790937,391.9894475,992.3638016,1504.543723,1751.7054,252.6595789,465.8494568,264.2087323,13.47305501,8.508937541,1.567497724,2.586839391,0.491556689,0.055914513,0.262309153,8.440290209,2.133289259,4.155321466,7.293759795,0.428737269,1.498908876,0.096288143,0.011424137,0.006130873,0.002245827,0.002012794,0.000759151,3.35E-05,0.000242026,0.007281388,0.001805076,0.000136957,0.000530616
Other cut and sew apparel manufacturing,1437,1000,509125.9545,660.3181224,36.46177217,296.1110717,992.8909663,1298.54598,1462.759737,220.4447462,389.5938384,337.0944624,11.40584903,7.242216124,1.341606241,2.121657179,0.431022485,0.045499465,0.223847542,7.196455723,1.780943275,3.564157345,6.11391349,0.355346168,1.293709232,0.07869661,0.003133417,0.001674842,0.000607754,0.000565802,0.00020872,9.07E-06,6.72E-05,0.001990058,0.000501906,6.11E-05,0.000367376
Accessories and other apparel manufacturing,2592,1000,735557.7394,688.8832364,45.35563935,257.5711394,991.8100152,1604.447008,1614.584314,260.5909013,567.0603192,602.9445419,13.33784752,8.492785923,1.596590809,2.425825633,0.506532685,0.05372347,0.262388997,8.434731646,2.069192137,4.038147742,6.907954494,0.530500086,1.761107965,0.100102448,0.088169068,0.049028824,0.015955166,0.01560505,0.005436846,0.000261607,0.001881574,0.056331738,0.013842283,3.79E-05,0.000389835
Leather and hide tanning and finishing,2089,1000,2439254.321,594.8961108,53.88767777,343.8686666,992.6524552,2834.929678,2063.479379,1104.45491,1506.79702,7928.756011,26.07833973,16.36409395,3.701289969,4.239079931,1.1230314,0.112704037,0.538140443,16.57702387,3.999905755,13.94176618,8.331471249,1.159751084,2.346855611,0.298388369,0.8979668,0.527587817,0.145187002,0.149668275,0.054117356,0.002532708,0.018873642,0.585422569,0.135606939,0.000414327,0.000616661
Footwear manufacturing,1936,1000,846159.1401,656.8503064,43.39384319,293.381278,993.6254277,1655.336442,1532.244758,347.35247,888.6620098,1400.345313,14.73808711,9.307954449,1.925344849,2.549843644,0.603122528,0.057213217,0.294608421,9.365651022,2.267488896,5.297348847,6.496007131,0.855811495,1.956821526,0.132057283,0.79943655,0.447035927,0.145673126,0.138451683,0.048783612,0.002413214,0.017078988,0.509364769,0.125769036,0.000149699,0.000365493
Other leather and allied product manufacturing,1804,1000,850528.5289,590.4282497,37.1852247,365.952856,993.5663304,1429.047558,1297.490901,328.5417263,553.9694361,1689.048761,11.87736018,7.474539619,1.553851332,2.082670254,0.480131826,0.048083674,0.238083477,7.520855618,1.840029086,4.702356995,5.25033124,0.468589683,1.339495096,0.116561428,0.112072693,0.063471031,0.021589681,0.017318865,0.007114902,0.000286772,0.002291442,0.073037116,0.017004784,0.000158325,0.000336459
Sawmills and wood preservation,29101,1000,735003.1157,580.6547274,65.78374336,348.3919138,994.8303845,5839.272557,1825.568573,1241.84663,2228.219781,948.7498853,58.29004895,40.47926348,7.077853359,7.192705908,2.208717721,0.211040403,1.120468084,38.04964628,8.219907492,12.89848631,9.056931772,5.489365742,30.65845089,0.184337291,3.514031785,2.104399933,0.520034641,0.666773726,0.135692492,0.018741756,0.068389237,2.066538347,0.618125105,-0.004581552,-0.000737599
Reconstituted wood product manufacturing,5789,1000,1347302.334,542.7606924,55.46149254,396.4847462,994.7069311,5812.246289,3406.564924,1591.673224,3963.097186,447.4779281,48.09503101,31.6932101,5.806909753,7.757002807,1.689459567,0.214423498,0.934025285,30.31682051,7.408927579,16.23185476,14.59332623,3.629747146,13.3019525,0.337445161,14.18224235,8.970264367,1.747429827,2.715740722,0.380648316,0.092846142,0.275312976,8.313302153,2.494682965,-0.001372232,0.001337705
Veneer and plywood manufacturing,7663,1000,777461.74,595.2456701,82.13456131,317.7940781,995.1743095,5345.09225,1964.030648,1480.157023,3537.839133,714.4835557,53.34262886,36.5492047,6.424256736,7.196849557,1.930151085,0.213603318,1.028563459,34.36379391,7.772004666,14.675967,9.388838647,5.170800384,23.95048275,0.154972189,8.471693374,5.321575333,1.084971897,1.611495349,0.233155257,0.054845565,0.165649973,4.949412034,1.49945179,-0.003494996,0.000114172
